Date,County,ED Visit Count,Hospitalization Count
8/4/2020,Bartholomew,2,0
8/5/2020,Bartholomew,3,0
8/6/2020,Bartholomew,1,1
8/7/2020,Bartholomew,6,4
8/8/2020,Bartholomew,4,3
8/9/2020,Bartholomew,5,2
8/10/2020,Bartholomew,1,1
8/11/2020,Bartholomew,11,4
8/12/2020,Bartholomew,4,1
8/13/2020,Bartholomew,5,2
8/14/2020,Bartholomew,3,1
8/15/2020,Bartholomew,7,5
8/16/2020,Bartholomew,6,2
8/17/2020,Bartholomew,5,2
8/18/2020,Bartholomew,2,1
8/19/2020,Bartholomew,3,1
8/20/2020,Bartholomew,6,2
8/21/2020,Bartholomew,4,1
8/22/2020,Bartholomew,6,4
8/23/2020,Bartholomew,9,3
8/24/2020,Bartholomew,10,2
8/25/2020,Bartholomew,4,1
8/26/2020,Bartholomew,0,0
8/27/2020,Bartholomew,2,1
8/28/2020,Bartholomew,4,1
8/29/2020,Bartholomew,2,2
8/30/2020,Bartholomew,2,0
8/31/2020,Bartholomew,7,4
9/1/2020,Bartholomew,4,0
9/2/2020,Bartholomew,4,0
9/3/2020,Bartholomew,1,0
9/4/2020,Bartholomew,1,1
9/5/2020,Bartholomew,1,0
9/6/2020,Bartholomew,2,0
9/7/2020,Bartholomew,3,0
9/8/2020,Bartholomew,1,2
9/9/2020,Bartholomew,1,0
9/10/2020,Bartholomew,4,1
9/11/2020,Bartholomew,2,0
9/12/2020,Bartholomew,4,0
9/13/2020,Bartholomew,1,0
9/14/2020,Bartholomew,0,0
9/15/2020,Bartholomew,1,0
9/16/2020,Bartholomew,1,0
9/17/2020,Bartholomew,3,0
9/18/2020,Bartholomew,2,0
9/19/2020,Bartholomew,2,1
9/20/2020,Bartholomew,1,0
9/21/2020,Bartholomew,2,1
9/22/2020,Bartholomew,1,0
9/23/2020,Bartholomew,1,1
9/24/2020,Bartholomew,1,1
9/25/2020,Bartholomew,2,0
9/26/2020,Bartholomew,2,1
9/27/2020,Bartholomew,4,0
9/28/2020,Bartholomew,3,0
9/29/2020,Bartholomew,3,0
9/30/2020,Bartholomew,1,2
10/1/2020,Bartholomew,0,0
10/2/2020,Bartholomew,2,1
10/3/2020,Bartholomew,2,0
10/4/2020,Bartholomew,0,0
10/5/2020,Bartholomew,5,2
10/6/2020,Bartholomew,4,0
10/7/2020,Bartholomew,3,0
10/8/2020,Bartholomew,5,1
10/9/2020,Bartholomew,2,0
10/10/2020,Bartholomew,4,0
10/11/2020,Bartholomew,5,2
10/12/2020,Bartholomew,2,0
10/13/2020,Bartholomew,6,1
10/14/2020,Bartholomew,2,1
10/15/2020,Bartholomew,1,0
10/16/2020,Bartholomew,0,0
10/17/2020,Bartholomew,2,0
10/18/2020,Bartholomew,4,1
10/19/2020,Bartholomew,6,3
10/20/2020,Bartholomew,4,1
10/21/2020,Bartholomew,4,1
10/22/2020,Bartholomew,3,0
10/23/2020,Bartholomew,4,1
10/24/2020,Bartholomew,1,1
10/25/2020,Bartholomew,4,3
10/26/2020,Bartholomew,6,3
10/27/2020,Bartholomew,3,1
10/28/2020,Bartholomew,5,1
10/29/2020,Bartholomew,4,1
10/30/2020,Bartholomew,9,3
10/31/2020,Bartholomew,7,1
11/1/2020,Bartholomew,7,2
11/2/2020,Bartholomew,5,1
11/3/2020,Bartholomew,9,1
11/4/2020,Bartholomew,7,3
11/5/2020,Bartholomew,3,0
11/6/2020,Bartholomew,11,4
11/7/2020,Bartholomew,6,2
11/8/2020,Bartholomew,5,1
11/9/2020,Bartholomew,10,3
11/10/2020,Bartholomew,11,4
11/11/2020,Bartholomew,12,5
11/12/2020,Bartholomew,12,1
11/13/2020,Bartholomew,8,1
11/14/2020,Bartholomew,13,10
11/15/2020,Bartholomew,15,4
11/16/2020,Bartholomew,13,4
11/17/2020,Bartholomew,9,5
11/18/2020,Bartholomew,12,3
11/19/2020,Bartholomew,12,8
11/20/2020,Bartholomew,15,4
11/21/2020,Bartholomew,13,4
11/22/2020,Bartholomew,15,6
11/23/2020,Bartholomew,9,1
11/24/2020,Bartholomew,10,4
11/25/2020,Bartholomew,14,6
11/26/2020,Bartholomew,7,3
11/27/2020,Bartholomew,11,6
11/28/2020,Bartholomew,3,3
11/29/2020,Bartholomew,11,4
11/30/2020,Bartholomew,13,6
12/1/2020,Bartholomew,12,5
12/2/2020,Bartholomew,10,2
12/3/2020,Bartholomew,7,3
12/4/2020,Bartholomew,4,0
12/5/2020,Bartholomew,5,5
12/6/2020,Bartholomew,1,1
3/1/2020,Benton,0,0
3/2/2020,Benton,0,0
3/3/2020,Benton,0,0
3/4/2020,Benton,0,0
3/5/2020,Benton,0,0
3/6/2020,Benton,0,0
3/7/2020,Benton,0,0
3/8/2020,Benton,0,0
3/9/2020,Benton,0,0
3/10/2020,Benton,0,0
3/11/2020,Benton,0,0
3/12/2020,Benton,0,0
3/13/2020,Benton,0,0
3/14/2020,Benton,0,0
3/15/2020,Benton,0,0
3/16/2020,Benton,1,0
3/17/2020,Benton,0,0
3/18/2020,Benton,1,0
3/19/2020,Benton,0,0
3/20/2020,Benton,0,0
3/21/2020,Benton,0,0
3/22/2020,Benton,0,1
3/23/2020,Benton,0,0
3/24/2020,Benton,0,0
3/25/2020,Benton,0,1
3/26/2020,Benton,0,0
